minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
0,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
0,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
0,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
0,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
1,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
1,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
1,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
1,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
1,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
2,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
2,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
2,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
2,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
2,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
3,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
3,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
3,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
3,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
3,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
4,Arsenal,0,0.016188528388738632,0.9967622943222523,0.0032377056777477264,0.0,0.0,0.0,0.740999984741211,0.6270000076293946,BlockedShot,0.016188528388738632,4': Shot by Martin Odegaard - 0.02 xG,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
4,Arsenal,0,0.016188528388738632,0.9935245886445045,0.006475411355495453,0.0,0.0,0.0,,,,,4': Shot by Martin Odegaard - 0.02 xG,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
4,Arsenal,0,0.016188528388738632,0.9902868829667568,0.00971311703324318,0.0,0.0,0.0,,,,,4': Shot by Martin Odegaard - 0.02 xG,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
4,Arsenal,0,0.016188528388738632,0.9870491772890091,0.012950822710990906,0.0,0.0,0.0,,,,,4': Shot by Martin Odegaard - 0.02 xG,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
4,Arsenal,0,0.016188528388738632,0.9838114716112614,0.016188528388738632,0.0,0.0,0.0,,,,,4': Shot by Martin Odegaard - 0.02 xG,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
5,Arsenal,0,0.016188528388738632,0.9838114716112614,0.016188528388738632,0.0,0.0,0.0,,,,,4': Shot by Martin Odegaard - 0.02 xG,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
5,Arsenal,0,0.016188528388738632,0.9838114716112614,0.016188528388738632,0.0,0.0,0.0,,,,,4': Shot by Martin Odegaard - 0.02 xG,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
5,Arsenal,0,0.016188528388738632,0.9838114716112614,0.016188528388738632,0.0,0.0,0.0,,,,,4': Shot by Martin Odegaard - 0.02 xG,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
5,Arsenal,0,0.016188528388738632,0.9838114716112614,0.016188528388738632,0.0,0.0,0.0,,,,,4': Shot by Martin Odegaard - 0.02 xG,Leeds,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,ARSLED20250823
