minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
1,Aston Villa,0,0.04001225531101227,0.9919975489377976,0.008002451062202454,0.0,0.0,0.0,0.909000015258789,0.585,MissedShots,0.04001225531101227,1': Shot by Youri Tielemans - 0.04 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
1,Aston Villa,0,0.04001225531101227,0.9839950978755951,0.016004902124404908,0.0,0.0,0.0,,,,,1': Shot by Youri Tielemans - 0.04 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
1,Aston Villa,0,0.04001225531101227,0.9759926468133926,0.024007353186607364,0.0,0.0,0.0,,,,,1': Shot by Youri Tielemans - 0.04 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
1,Aston Villa,0,0.04001225531101227,0.9679901957511902,0.032009804248809816,0.0,0.0,0.0,,,,,1': Shot by Youri Tielemans - 0.04 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
1,Aston Villa,0,0.04001225531101227,0.9599877446889877,0.04001225531101227,0.0,0.0,0.0,,,,,1': Shot by Youri Tielemans - 0.04 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
2,Aston Villa,0,0.04001225531101227,0.9599877446889877,0.04001225531101227,0.0,0.0,0.0,,,,,1': Shot by Youri Tielemans - 0.04 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
2,Aston Villa,0,0.04001225531101227,0.9599877446889877,0.04001225531101227,0.0,0.0,0.0,,,,,1': Shot by Youri Tielemans - 0.04 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
2,Aston Villa,0,0.04001225531101227,0.9599877446889877,0.04001225531101227,0.0,0.0,0.0,,,,,1': Shot by Youri Tielemans - 0.04 xG,Crystal Palace,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,AVLCRY20250831
