minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_event_log,code
0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,AVLFLH20250928
0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,AVLFLH20250928
0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,AVLFLH20250928
0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,AVLFLH20250928
0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,AVLFLH20250928
1,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,AVLFLH20250928
1,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,AVLFLH20250928
1,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,AVLFLH20250928
1,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,AVLFLH20250928
1,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,AVLFLH20250928
2,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9837158709764481,0.01628412902355194,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
2,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9674317419528962,0.03256825804710388,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
2,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9511476129293441,0.04885238707065582,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
2,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9348634839057922,0.06513651609420776,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
2,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
3,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
3,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
3,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
3,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
3,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
4,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
4,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
4,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
4,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
4,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
5,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
5,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
5,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
