minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
1,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
1,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
1,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
1,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
1,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
2,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
2,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
2,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
2,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
2,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
3,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
3,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
3,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
3,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
3,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BRECHE20250913
4,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.10635886341333389,0.9787282273173332,0.02127177268266678,0.0,0.0,0.0,0.13300003051757814,0.4640000152587891,BlockedShot,0.10635886341333389,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
4,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.10635886341333389,0.9574564546346664,0.04254354536533356,0.0,0.0,0.0,,,,,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
4,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.10635886341333389,0.9361846819519997,0.06381531804800034,0.0,0.0,0.0,,,,,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
4,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.10635886341333389,0.9149129092693329,0.08508709073066711,0.0,0.0,0.0,,,,,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
4,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.10635886341333389,0.8936411365866661,0.10635886341333389,0.0,0.0,0.0,,,,,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
5,Brentford,0,0.18136269599199295,0.9647053987574153,0.03431666328677081,0.0009779379558138902,0.0,0.0,0.8919999694824219,0.5520000076293945,BlockedShot,0.14841710031032562,5': Shot by Kevin Schade - 0.03 xG,Chelsea,0,0.10635886341333389,0.8936411365866661,0.10635886341333389,0.0,0.0,0.0,,,,,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
5,Brentford,0,0.18136269599199295,0.9294107975148306,0.06863332657354163,0.0019558759116277804,0.0,0.0,0.8830000305175781,0.534000015258789,MissedShots,0.03294559568166733,5': Shot by Kevin Schade - 0.03 xG,Chelsea,0,0.10635886341333389,0.8936411365866661,0.10635886341333389,0.0,0.0,0.0,,,,,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
5,Brentford,0,0.18136269599199295,0.8941161962722459,0.10294998986031244,0.0029338138674416705,0.0,0.0,,,,,5': Shot by Kevin Schade - 0.03 xG,Chelsea,0,0.10635886341333389,0.8936411365866661,0.10635886341333389,0.0,0.0,0.0,,,,,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
5,Brentford,0,0.18136269599199295,0.8588215950296612,0.13726665314708325,0.003911751823255561,0.0,0.0,,,,,5': Shot by Kevin Schade - 0.03 xG,Chelsea,0,0.10635886341333389,0.8936411365866661,0.10635886341333389,0.0,0.0,0.0,,,,,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
5,Brentford,0,0.18136269599199295,0.8235269937870765,0.17158331643385405,0.0048896897790694505,0.0,0.0,,,,,5': Shot by Kevin Schade - 0.03 xG,Chelsea,0,0.10635886341333389,0.8936411365866661,0.10635886341333389,0.0,0.0,0.0,,,,,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
6,Brentford,0,0.18136269599199295,0.8235269937870765,0.17158331643385405,0.0048896897790694505,0.0,0.0,,,,,5': Shot by Kevin Schade - 0.03 xG,Chelsea,0,0.10635886341333389,0.8936411365866661,0.10635886341333389,0.0,0.0,0.0,,,,,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
6,Brentford,0,0.18136269599199295,0.8235269937870765,0.17158331643385405,0.0048896897790694505,0.0,0.0,,,,,5': Shot by Kevin Schade - 0.03 xG,Chelsea,0,0.10635886341333389,0.8936411365866661,0.10635886341333389,0.0,0.0,0.0,,,,,4': Shot by João Pedro - 0.11 xG,BRECHE20250913
