minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
1,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
1,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
1,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
1,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
1,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
2,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
2,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
2,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
2,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
2,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
3,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
3,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
3,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
3,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
3,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BREMUN20250927
4,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.970674243569374,0.029325756430625915,0.0,0.0,0.0,0.13199996948242188,0.6599999999999999,BlockedShot,0.14662878215312958,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
4,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.9413484871387482,0.05865151286125183,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
4,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.9120227307081222,0.08797726929187774,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
4,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8826969742774964,0.11730302572250366,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
4,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
5,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
5,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
5,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
5,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
5,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
6,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
6,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
6,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
6,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
6,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
7,Brentford,1,0.32880347967147827,0.9342393040657043,0.06576069593429565,0.0,0.0,0.0,0.8530000305175781,0.6140000152587891,Goal,0.32880347967147827,7': Goal scored by Thiago - 0.33 xG,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
7,Brentford,1,0.32880347967147827,0.8684786081314086,0.1315213918685913,0.0,0.0,0.0,,,,,7': Goal scored by Thiago - 0.33 xG,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
7,Brentford,1,0.32880347967147827,0.8027179121971131,0.19728208780288695,0.0,0.0,0.0,,,,,7': Goal scored by Thiago - 0.33 xG,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
7,Brentford,1,0.32880347967147827,0.7369572162628174,0.2630427837371826,0.0,0.0,0.0,,,,,7': Goal scored by Thiago - 0.33 xG,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
7,Brentford,1,0.32880347967147827,0.6711965203285217,0.32880347967147827,0.0,0.0,0.0,,,,,7': Goal scored by Thiago - 0.33 xG,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
8,Brentford,1,0.32880347967147827,0.6711965203285217,0.32880347967147827,0.0,0.0,0.0,,,,,7': Goal scored by Thiago - 0.33 xG,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
8,Brentford,1,0.32880347967147827,0.6711965203285217,0.32880347967147827,0.0,0.0,0.0,,,,,7': Goal scored by Thiago - 0.33 xG,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
8,Brentford,1,0.32880347967147827,0.6711965203285217,0.32880347967147827,0.0,0.0,0.0,,,,,7': Goal scored by Thiago - 0.33 xG,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
8,Brentford,1,0.32880347967147827,0.6711965203285217,0.32880347967147827,0.0,0.0,0.0,,,,,7': Goal scored by Thiago - 0.33 xG,Manchester United,0,0.14662878215312958,0.8533712178468704,0.14662878215312958,0.0,0.0,0.0,,,,,4': Shot by Benjamin Sesko - 0.15 xG,BREMUN20250927
