minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,BURLIV20250914
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.023823529481887817,0.9952352941036224,0.0047647058963775635,0.0,0.0,0.0,0.20499999999999996,0.29400001525878905,MissedShots,0.023823529481887817,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.023823529481887817,0.9904705882072449,0.009529411792755127,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.023823529481887817,0.9857058823108673,0.01429411768913269,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.023823529481887817,0.9809411764144897,0.019058823585510254,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
6,Burnley,0,0.14699222147464752,0.9706015557050705,0.029398444294929504,0.0,0.0,0.0,0.81,0.515,MissedShots,0.14699222147464752,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
6,Burnley,0,0.14699222147464752,0.941203111410141,0.05879688858985901,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
6,Burnley,0,0.14699222147464752,0.9118046671152115,0.08819533288478851,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
6,Burnley,0,0.14699222147464752,0.882406222820282,0.11759377717971801,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
6,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
7,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
7,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
7,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
7,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
7,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.023823529481887817,0.9761764705181122,0.023823529481887817,0.0,0.0,0.0,,,,,4': Shot by Cody Gakpo - 0.02 xG,BURLIV20250914
8,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.9568887501188768,0.04264053419656495,0.00047071568455825386,0.0,0.0,0.07599998474121095,0.45599998474121095,MissedShots,0.0987921804189682,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
8,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.9376010297196414,0.06145753891124208,0.0009414313691165077,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
8,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.918313309320406,0.08027454362591921,0.0014121470536747616,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
8,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8990255889211707,0.09909154834059634,0.0018828627382330154,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
8,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8797378685219353,0.11790855305527348,0.0023535784227912693,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
9,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8797378685219353,0.11790855305527348,0.0023535784227912693,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
9,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8797378685219353,0.11790855305527348,0.0023535784227912693,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
9,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8797378685219353,0.11790855305527348,0.0023535784227912693,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
9,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8797378685219353,0.11790855305527348,0.0023535784227912693,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
9,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8797378685219353,0.11790855305527348,0.0023535784227912693,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
10,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8797378685219353,0.11790855305527348,0.0023535784227912693,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
10,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8797378685219353,0.11790855305527348,0.0023535784227912693,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
10,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8797378685219353,0.11790855305527348,0.0023535784227912693,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
10,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8797378685219353,0.11790855305527348,0.0023535784227912693,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
10,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.12261570990085602,0.8797378685219353,0.11790855305527348,0.0023535784227912693,0.0,0.0,,,,,8': Shot by Milos Kerkez - 0.1 xG,BURLIV20250914
11,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.7619322091341019,0.767251681652663,0.21531856325075474,0.01712881879299628,0.0003009363035859637,0.0,0.020000000000000018,0.4779999923706054,MissedShots,0.6393164992332458,11': Shot by Ibrahima Konaté - 0.64 xG,BURLIV20250914
11,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.7619322091341019,0.6547654947833907,0.312728573446236,0.03190405916320129,0.0006018726071719274,0.0,,,,,11': Shot by Ibrahima Konaté - 0.64 xG,BURLIV20250914
11,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.7619322091341019,0.5422793079141186,0.4101385836417173,0.0466792995334063,0.000902808910757891,0.0,,,,,11': Shot by Ibrahima Konaté - 0.64 xG,BURLIV20250914
11,Burnley,0,0.14699222147464752,0.8530077785253525,0.14699222147464752,0.0,0.0,0.0,,,,,6': Shot by Jaidon Anthony - 0.15 xG,Liverpool,0,0.7619322091341019,0.42979312104484635,0.5075485938371985,0.06145453990361131,0.0012037452143438547,0.0,,,,,11': Shot by Ibrahima Konaté - 0.64 xG,BURLIV20250914
