minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,code
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,BURSUN20250823
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.5299577713012695,0.8940084457397461,0.1059915542602539,0.0,0.0,0.0,BURSUN20250823
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.5299577713012695,0.7880168914794922,0.2119831085205078,0.0,0.0,0.0,BURSUN20250823
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.5299577713012695,0.6820253372192383,0.3179746627807617,0.0,0.0,0.0,BURSUN20250823
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.5299577713012695,0.5760337829589843,0.4239662170410156,0.0,0.0,0.0,BURSUN20250823
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Sunderland,0,0.5299577713012695,0.47004222869873047,0.5299577713012695,0.0,0.0,0.0,BURSUN20250823
