minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_event_log,code
0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
1,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
1,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
1,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
1,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
1,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
2,Chelsea,0,0.058469995856285095,0.988306000828743,0.011693999171257019,0.0,0.0,0.0,2': Shot by Enzo Fernández worth 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
2,Chelsea,0,0.058469995856285095,0.976612001657486,0.023387998342514038,0.0,0.0,0.0,2': Shot by Enzo Fernández worth 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,CHEBRI20250927
