minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
0,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
0,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
0,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
0,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
1,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
1,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
1,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
1,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
1,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
2,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
2,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
2,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
2,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
2,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
3,Everton,0,0.056633301079273224,0.9886733397841454,0.011326660215854645,0.0,0.0,0.0,0.795,0.54,SavedShot,0.056633301079273224,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
3,Everton,0,0.056633301079273224,0.9773466795682907,0.02265332043170929,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
3,Everton,0,0.056633301079273224,0.9660200193524361,0.03397998064756394,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
3,Everton,0,0.056633301079273224,0.9546933591365814,0.04530664086341858,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
3,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
4,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
4,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
4,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
4,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
4,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
5,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
5,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
5,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
5,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
5,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
6,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
6,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
6,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
6,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
6,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
7,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
7,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
7,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
7,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
7,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
8,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
8,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
8,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
8,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
8,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
9,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
9,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
9,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
9,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
9,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
10,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
10,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
10,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
10,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
10,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,EVEBRI20250824
11,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.028836553916335106,0.994232689216733,0.005767310783267021,0.0,0.0,0.0,0.2030000305175781,0.360999984741211,SavedShot,0.028836553916335106,11': Shot by Yasin Ayari - 0.03 xG,EVEBRI20250824
11,Everton,0,0.056633301079273224,0.9433666989207268,0.056633301079273224,0.0,0.0,0.0,,,,,3': Shot by Iliman Ndiaye - 0.06 xG,Brighton,0,0.028836553916335106,0.9884653784334659,0.011534621566534042,0.0,0.0,0.0,,,,,11': Shot by Yasin Ayari - 0.03 xG,EVEBRI20250824
