minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.07613291591405869,0.9847734168171882,0.015226583182811736,0.0,0.0,0.0,0.13800003051757814,0.5459999847412109,BlockedShot,0.07613291591405869,0': Shot by Mikkel Damsgaard - 0.08 xG,FLHBRE20250920
0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.07613291591405869,0.9695468336343765,0.030453166365623473,0.0,0.0,0.0,,,,,0': Shot by Mikkel Damsgaard - 0.08 xG,FLHBRE20250920
0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.07613291591405869,0.9543202504515648,0.045679749548435206,0.0,0.0,0.0,,,,,0': Shot by Mikkel Damsgaard - 0.08 xG,FLHBRE20250920
0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.07613291591405869,0.9390936672687531,0.060906332731246945,0.0,0.0,0.0,,,,,0': Shot by Mikkel Damsgaard - 0.08 xG,FLHBRE20250920
0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.07613291591405869,0.9238670840859413,0.07613291591405869,0.0,0.0,0.0,,,,,0': Shot by Mikkel Damsgaard - 0.08 xG,FLHBRE20250920
1,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.07613291591405869,0.9238670840859413,0.07613291591405869,0.0,0.0,0.0,,,,,0': Shot by Mikkel Damsgaard - 0.08 xG,FLHBRE20250920
1,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.07613291591405869,0.9238670840859413,0.07613291591405869,0.0,0.0,0.0,,,,,0': Shot by Mikkel Damsgaard - 0.08 xG,FLHBRE20250920
1,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.07613291591405869,0.9238670840859413,0.07613291591405869,0.0,0.0,0.0,,,,,0': Shot by Mikkel Damsgaard - 0.08 xG,FLHBRE20250920
1,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.07613291591405869,0.9238670840859413,0.07613291591405869,0.0,0.0,0.0,,,,,0': Shot by Mikkel Damsgaard - 0.08 xG,FLHBRE20250920
1,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.07613291591405869,0.9238670840859413,0.07613291591405869,0.0,0.0,0.0,,,,,0': Shot by Mikkel Damsgaard - 0.08 xG,FLHBRE20250920
