minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,FLHMUN20250824
0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,FLHMUN20250824
0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,FLHMUN20250824
0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,FLHMUN20250824
0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,FLHMUN20250824
1,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.1504263337701559,0.9704044948579884,0.029105743529991922,0.0004897616120196291,0.0,0.0,0.2719999694824219,0.5870000076293945,MissedShots,0.018572082743048668,1': Shot by Matheus Cunha - 0.13 xG,FLHMUN20250824
1,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.1504263337701559,0.9408089897159769,0.058211487059983844,0.0009795232240392582,0.0,0.0,0.13900001525878902,0.43000000000000005,ShotOnPost,0.13185425102710724,1': Shot by Matheus Cunha - 0.13 xG,FLHMUN20250824
1,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.1504263337701559,0.9112134845739653,0.08731723058997576,0.0014692848360588874,0.0,0.0,,,,,1': Shot by Matheus Cunha - 0.13 xG,FLHMUN20250824
1,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.1504263337701559,0.8816179794319539,0.11642297411996769,0.0019590464480785164,0.0,0.0,,,,,1': Shot by Matheus Cunha - 0.13 xG,FLHMUN20250824
1,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Manchester United,0,0.1504263337701559,0.8520224742899423,0.14552871764995962,0.0024488080600981454,0.0,0.0,,,,,1': Shot by Matheus Cunha - 0.13 xG,FLHMUN20250824
