minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
0,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
0,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
0,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
0,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
1,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
1,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
1,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
1,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
1,Liverpool,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
2,Liverpool,0,0.014601008035242558,0.9970797983929515,0.0029202016070485116,0.0,0.0,0.0,0.7619999694824219,0.6990000152587891,SavedShot,0.014601008035242558,2': Shot by Hugo Ekitike - 0.01 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
2,Liverpool,0,0.014601008035242558,0.9941595967859029,0.005840403214097023,0.0,0.0,0.0,,,,,2': Shot by Hugo Ekitike - 0.01 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
2,Liverpool,0,0.014601008035242558,0.9912393951788545,0.008760604821145535,0.0,0.0,0.0,,,,,2': Shot by Hugo Ekitike - 0.01 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
2,Liverpool,0,0.014601008035242558,0.988319193571806,0.011680806428194046,0.0,0.0,0.0,,,,,2': Shot by Hugo Ekitike - 0.01 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
2,Liverpool,0,0.014601008035242558,0.9853989919647574,0.014601008035242558,0.0,0.0,0.0,,,,,2': Shot by Hugo Ekitike - 0.01 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
3,Liverpool,0,0.057257057167589664,0.9769923464015147,0.02288308933525874,0.0001245642632266203,0.0,0.0,0.855999984741211,0.3129999923706055,SavedShot,0.04265604913234711,3': Shot by Mohamed Salah - 0.04 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
3,Liverpool,0,0.057257057167589664,0.9685857008382719,0.03116517063527492,0.0002491285264532406,0.0,0.0,,,,,3': Shot by Mohamed Salah - 0.04 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
3,Liverpool,0,0.057257057167589664,0.960179055275029,0.0394472519352911,0.0003736927896798609,0.0,0.0,,,,,3': Shot by Mohamed Salah - 0.04 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
3,Liverpool,0,0.057257057167589664,0.9517724097117862,0.04772933323530728,0.0004982570529064812,0.0,0.0,,,,,3': Shot by Mohamed Salah - 0.04 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
3,Liverpool,0,0.057257057167589664,0.9433657641485435,0.05601141453532346,0.0006228213161331014,0.0,0.0,,,,,3': Shot by Mohamed Salah - 0.04 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
4,Liverpool,0,0.3152324864640832,0.8946927265505764,0.10179453839123971,0.003480600538902998,3.213451928088879e-05,2.2204460492503132e-17,0.914000015258789,0.505,MissedShots,0.25797542929649353,4': Shot by Virgil van Dijk - 0.26 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
4,Liverpool,0,0.3152324864640832,0.8460196889526094,0.14757766224715596,0.006338379761672895,6.426903856177758e-05,4.4408920985006264e-17,,,,,4': Shot by Virgil van Dijk - 0.26 xG,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,LIVBOU20250815
