minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
0,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
0,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
0,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
0,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
1,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
1,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
1,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
1,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
1,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
2,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
2,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
2,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
2,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
2,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
3,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
3,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
3,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
3,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
3,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
4,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
4,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
4,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
4,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
4,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
5,Manchester United,0,0.07126373052597046,0.9857472538948059,0.014252746105194091,0.0,0.0,0.0,0.87,0.37599998474121094,SavedShot,0.07126373052597046,5': Shot by Bryan Mbeumo - 0.07 xG,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
5,Manchester United,0,0.07126373052597046,0.9714945077896118,0.028505492210388183,0.0,0.0,0.0,,,,,5': Shot by Bryan Mbeumo - 0.07 xG,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNARS20250817
