minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
0,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
0,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
0,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
0,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
1,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
1,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
1,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
1,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
1,Manchester United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
2,Manchester United,0,0.06756933778524399,0.9864861324429512,0.013513867557048798,0.0,0.0,0.0,0.9330000305175781,0.3970000076293945,SavedShot,0.06756933778524399,2': Shot by Bryan Mbeumo - 0.07 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
2,Manchester United,0,0.06756933778524399,0.9729722648859024,0.027027735114097597,0.0,0.0,0.0,,,,,2': Shot by Bryan Mbeumo - 0.07 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
2,Manchester United,0,0.06756933778524399,0.9594583973288536,0.0405416026711464,0.0,0.0,0.0,,,,,2': Shot by Bryan Mbeumo - 0.07 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
2,Manchester United,0,0.06756933778524399,0.9459445297718048,0.05405547022819519,0.0,0.0,0.0,,,,,2': Shot by Bryan Mbeumo - 0.07 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
2,Manchester United,0,0.06756933778524399,0.932430662214756,0.06756933778524399,0.0,0.0,0.0,,,,,2': Shot by Bryan Mbeumo - 0.07 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
3,Manchester United,0,0.06756933778524399,0.932430662214756,0.06756933778524399,0.0,0.0,0.0,,,,,2': Shot by Bryan Mbeumo - 0.07 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
3,Manchester United,0,0.06756933778524399,0.932430662214756,0.06756933778524399,0.0,0.0,0.0,,,,,2': Shot by Bryan Mbeumo - 0.07 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
3,Manchester United,0,0.06756933778524399,0.932430662214756,0.06756933778524399,0.0,0.0,0.0,,,,,2': Shot by Bryan Mbeumo - 0.07 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
3,Manchester United,0,0.06756933778524399,0.932430662214756,0.06756933778524399,0.0,0.0,0.0,,,,,2': Shot by Bryan Mbeumo - 0.07 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
3,Manchester United,0,0.06756933778524399,0.932430662214756,0.06756933778524399,0.0,0.0,0.0,,,,,2': Shot by Bryan Mbeumo - 0.07 xG,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,MUNCHE20250920
