minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_event_log,code
0,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,NEWARS20250928
0,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,NEWARS20250928
0,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,NEWARS20250928
0,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,NEWARS20250928
0,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.0,1.0,0.0,0.0,0.0,0.0,,NEWARS20250928
1,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.02406321093440056,0.9951873578131198,0.004812642186880112,0.0,0.0,0.0,1': Shot by Viktor Gyokeres worth 0.02 xG,NEWARS20250928
1,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.02406321093440056,0.9903747156262398,0.009625284373760224,0.0,0.0,0.0,1': Shot by Viktor Gyokeres worth 0.02 xG,NEWARS20250928
1,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.02406321093440056,0.9855620734393596,0.014437926560640336,0.0,0.0,0.0,1': Shot by Viktor Gyokeres worth 0.02 xG,NEWARS20250928
1,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.02406321093440056,0.9807494312524796,0.019250568747520447,0.0,0.0,0.0,1': Shot by Viktor Gyokeres worth 0.02 xG,NEWARS20250928
1,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.02406321093440056,0.9759367890655994,0.02406321093440056,0.0,0.0,0.0,1': Shot by Viktor Gyokeres worth 0.02 xG,NEWARS20250928
2,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.02406321093440056,0.9759367890655994,0.02406321093440056,0.0,0.0,0.0,1': Shot by Viktor Gyokeres worth 0.02 xG,NEWARS20250928
2,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.02406321093440056,0.9759367890655994,0.02406321093440056,0.0,0.0,0.0,1': Shot by Viktor Gyokeres worth 0.02 xG,NEWARS20250928
2,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.02406321093440056,0.9759367890655994,0.02406321093440056,0.0,0.0,0.0,1': Shot by Viktor Gyokeres worth 0.02 xG,NEWARS20250928
2,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.02406321093440056,0.9759367890655994,0.02406321093440056,0.0,0.0,0.0,1': Shot by Viktor Gyokeres worth 0.02 xG,NEWARS20250928
2,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,Arsenal,0,0.02406321093440056,0.9759367890655994,0.02406321093440056,0.0,0.0,0.0,1': Shot by Viktor Gyokeres worth 0.02 xG,NEWARS20250928
