minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9879784536069265,0.011858476235343746,0.00016307015772971944,0.0,0.0,0.11699996948242186,0.3180000305175781,SavedShot,0.01985236071050167,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
0,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9759569072138531,0.023716952470687492,0.0003261403154594389,0.0,0.0,0.14300003051757815,0.3590000152587891,SavedShot,0.04107072204351425,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
0,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9639353608207796,0.03557542870603124,0.0004892104731891583,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
0,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9519138144277062,0.047433904941374984,0.0006522806309188778,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
0,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
1,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
1,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
1,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
1,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
1,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
2,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
2,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
2,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
2,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
2,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
3,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
3,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
3,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
3,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
3,Newcastle United,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
4,Newcastle United,0,0.017971137538552284,0.9964057724922896,0.0035942275077104568,0.0,0.0,0.0,0.76,0.3820000076293945,MissedShots,0.017971137538552284,4': Shot by Jacob Murphy - 0.02 xG,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
4,Newcastle United,0,0.017971137538552284,0.9928115449845791,0.0071884550154209135,0.0,0.0,0.0,,,,,4': Shot by Jacob Murphy - 0.02 xG,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
4,Newcastle United,0,0.017971137538552284,0.9892173174768686,0.01078268252313137,0.0,0.0,0.0,,,,,4': Shot by Jacob Murphy - 0.02 xG,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
4,Newcastle United,0,0.017971137538552284,0.9856230899691582,0.014376910030841827,0.0,0.0,0.0,,,,,4': Shot by Jacob Murphy - 0.02 xG,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
4,Newcastle United,0,0.017971137538552284,0.9820288624614477,0.017971137538552284,0.0,0.0,0.0,,,,,4': Shot by Jacob Murphy - 0.02 xG,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
5,Newcastle United,0,0.017971137538552284,0.9820288624614477,0.017971137538552284,0.0,0.0,0.0,,,,,4': Shot by Jacob Murphy - 0.02 xG,Wolverhampton Wanderers,0,0.06092308275401592,0.9398922680346327,0.05929238117671873,0.0008153507886485972,0.0,0.0,,,,,0': Shot by Hee-Chan Hwang - 0.04 xG,NEWWOL20250913
