minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,NOTWHU20250831
0,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,NOTWHU20250831
0,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,NOTWHU20250831
0,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,NOTWHU20250831
0,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,NOTWHU20250831
1,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,NOTWHU20250831
1,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,NOTWHU20250831
1,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,NOTWHU20250831
1,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,NOTWHU20250831
1,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,NOTWHU20250831
2,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.03938474506139755,0.9921230509877205,0.00787694901227951,0.0,0.0,0.0,0.050999984741210924,0.61,MissedShots,0.03938474506139755,2': Shot by Niclas Füllkrug - 0.04 xG,NOTWHU20250831
2,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.03938474506139755,0.9842461019754409,0.01575389802455902,0.0,0.0,0.0,,,,,2': Shot by Niclas Füllkrug - 0.04 xG,NOTWHU20250831
2,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.03938474506139755,0.9763691529631615,0.02363084703683853,0.0,0.0,0.0,,,,,2': Shot by Niclas Füllkrug - 0.04 xG,NOTWHU20250831
2,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.03938474506139755,0.968492203950882,0.03150779604911804,0.0,0.0,0.0,,,,,2': Shot by Niclas Füllkrug - 0.04 xG,NOTWHU20250831
2,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.03938474506139755,0.9606152549386024,0.03938474506139755,0.0,0.0,0.0,,,,,2': Shot by Niclas Füllkrug - 0.04 xG,NOTWHU20250831
3,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.03938474506139755,0.9606152549386024,0.03938474506139755,0.0,0.0,0.0,,,,,2': Shot by Niclas Füllkrug - 0.04 xG,NOTWHU20250831
3,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.03938474506139755,0.9606152549386024,0.03938474506139755,0.0,0.0,0.0,,,,,2': Shot by Niclas Füllkrug - 0.04 xG,NOTWHU20250831
3,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.03938474506139755,0.9606152549386024,0.03938474506139755,0.0,0.0,0.0,,,,,2': Shot by Niclas Füllkrug - 0.04 xG,NOTWHU20250831
3,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.03938474506139755,0.9606152549386024,0.03938474506139755,0.0,0.0,0.0,,,,,2': Shot by Niclas Füllkrug - 0.04 xG,NOTWHU20250831
3,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,West Ham,0,0.03938474506139755,0.9606152549386024,0.03938474506139755,0.0,0.0,0.0,,,,,2': Shot by Niclas Füllkrug - 0.04 xG,NOTWHU20250831
