minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
0,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
0,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
0,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
0,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
1,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
1,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
1,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
1,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
1,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
2,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
2,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
2,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
2,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
2,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
3,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
3,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
3,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
3,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
3,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,TOTBOU20250830
4,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,1,0.06930409371852875,0.9861391812562943,0.01386081874370575,0.0,0.0,0.0,0.08400001525878908,0.32599998474121095,Goal,0.06930409371852875,4': Goal scored by Evanilson - 0.07 xG,TOTBOU20250830
4,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,1,0.06930409371852875,0.9722783625125885,0.0277216374874115,0.0,0.0,0.0,,,,,4': Goal scored by Evanilson - 0.07 xG,TOTBOU20250830
4,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,1,0.06930409371852875,0.9584175437688828,0.041582456231117254,0.0,0.0,0.0,,,,,4': Goal scored by Evanilson - 0.07 xG,TOTBOU20250830
4,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,1,0.06930409371852875,0.944556725025177,0.055443274974823,0.0,0.0,0.0,,,,,4': Goal scored by Evanilson - 0.07 xG,TOTBOU20250830
4,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,1,0.06930409371852875,0.9306959062814713,0.06930409371852875,0.0,0.0,0.0,,,,,4': Goal scored by Evanilson - 0.07 xG,TOTBOU20250830
5,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,1,0.06930409371852875,0.9306959062814713,0.06930409371852875,0.0,0.0,0.0,,,,,4': Goal scored by Evanilson - 0.07 xG,TOTBOU20250830
5,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,1,0.06930409371852875,0.9306959062814713,0.06930409371852875,0.0,0.0,0.0,,,,,4': Goal scored by Evanilson - 0.07 xG,TOTBOU20250830
5,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,1,0.06930409371852875,0.9306959062814713,0.06930409371852875,0.0,0.0,0.0,,,,,4': Goal scored by Evanilson - 0.07 xG,TOTBOU20250830
5,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,1,0.06930409371852875,0.9306959062814713,0.06930409371852875,0.0,0.0,0.0,,,,,4': Goal scored by Evanilson - 0.07 xG,TOTBOU20250830
5,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,1,0.06930409371852875,0.9306959062814713,0.06930409371852875,0.0,0.0,0.0,,,,,4': Goal scored by Evanilson - 0.07 xG,TOTBOU20250830
6,Tottenham,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Bournemouth,1,0.13736218214035034,0.9180276294247649,0.08102902974757713,0.000943340827657968,0.0,0.0,0.18500000000000005,0.4890000152587891,MissedShots,0.0680580884218216,6': Shot by Evanilson - 0.07 xG,TOTBOU20250830
