minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
0,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
0,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
0,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
0,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
1,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
1,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
1,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
1,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
1,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
2,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
2,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
2,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
2,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
2,Wolverhampton Wanderers,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
3,Wolverhampton Wanderers,0,0.008969185873866081,0.9982061628252268,0.0017938371747732162,0.0,0.0,0.0,0.6780000305175782,0.4809999847412109,SavedShot,0.008969185873866081,3': Shot by Jhon Arias - 0.01 xG,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
3,Wolverhampton Wanderers,0,0.008969185873866081,0.9964123256504536,0.0035876743495464325,0.0,0.0,0.0,,,,,3': Shot by Jhon Arias - 0.01 xG,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
3,Wolverhampton Wanderers,0,0.008969185873866081,0.9946184884756804,0.005381511524319649,0.0,0.0,0.0,,,,,3': Shot by Jhon Arias - 0.01 xG,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,WOLEVE20250830
