match_id,h_team,a_team,match_code,max_min
28828,Brentford,Manchester United,BREMUN20250927,97
28829,Chelsea,Brighton,CHEBRI20250927,102
28830,Crystal Palace,Liverpool,CRYLIV20250927,96
28832,Leeds,Bournemouth,LEDBOU20250927,96
28833,Manchester City,Burnley,MCIBUR20250927,92
28834,Nottingham Forest,Sunderland,NOTSUN20250927,93
28835,Tottenham,Wolverhampton Wanderers,TOTWOL20250927,93
28831,Aston Villa,Fulham,AVLFLH20250928,90
28836,Newcastle United,Arsenal,NEWARS20250928,98
28837,Everton,West Ham,EVEWHU20250929,90
